positionId,positionName,committeeId,committeeName,schoolId,schoolName
12,Ethiopia,109,"African Union",114,ARMUN
526,"Joseph Biden - Delaware",79,"Convention on the Elimination of all Forms of Discrimination Against Women (CEDAW)",114,ARMUN
60,"Kenya ",97,"Disarmament and International Security Committee",114,ARMUN
161,Belgium,99,"European Union",114,ARMUN
397,"Saudi Arabia",105,"GA Plenary",114,ARMUN
747,"Hélène Cixous ",89,"Post-Colonial Algeria (1962)",114,ARMUN
610,"Samuel Gompers",77,"The Gilded Age (1892)",114,ARMUN
607,"Ida Tarbell",77,"The Gilded Age (1892)",114,ARMUN
310,Madagascar,103,"United Nations Economic and Social Council",114,ARMUN
127,Poland,110,"United Nations High Commissioner for Refugees",114,ARMUN
28,Sudan,109,"African Union",111,"Auburn High School"
561,"Ian Blackford, Leader of the Scottish National Party in the House of Commons",93,Brexit,111,"Auburn High School"
61,"Peru ",97,"Disarmament and International Security Committee",111,"Auburn High School"
511,"Comte de Mirabeau",80,"Estates General (1789)",111,"Auburn High School"
175,Latvia,99,"European Union",111,"Auburn High School"
366,India,105,"GA Plenary",111,"Auburn High School"
488,"Plutarco Elías Calles",82,"Mexican Constitutional Congress (1917)",111,"Auburn High School"
477,"Ward 14: Councilman Theodore Brown",78,"Providence City Council (1975)",111,"Auburn High School"
456,Nigeria,111,"Special Political and Decolonization Committee",111,"Auburn High School"
304,Germany,103,"United Nations Economic and Social Council",111,"Auburn High School"
409,France,108,"United Nations Educational, Scientific, and Cultural Organization",111,"Auburn High School"
226,Greece,102,"United Nations Environmental Programme",111,"Auburn High School"
119,Lebanon,110,"United Nations High Commissioner for Refugees",111,"Auburn High School"
87,Netherlands,98,"United Nations Human Rights Council",111,"Auburn High School"
38,Namibia,109,"African Union",100,"Austin Preparatory School"
203,"Saudia Arabia",104,"Arab League",100,"Austin Preparatory School"
498,"Charles Alexandre de Calonne",80,"Estates General (1789)",100,"Austin Preparatory School"
365,"South Korea",105,"GA Plenary",100,"Austin Preparatory School"
446,Poland,111,"Special Political and Decolonization Committee",100,"Austin Preparatory School"
755,"Ju-ao Mei (China)",94,"Tokyo Trials (1946-48)",100,"Austin Preparatory School"
247,Bangladesh,107,"UN Women",100,"Austin Preparatory School"
309,Luxembourg,103,"United Nations Economic and Social Council",100,"Austin Preparatory School"
402,Bahrain,108,"United Nations Educational, Scientific, and Cultural Organization",100,"Austin Preparatory School"
