positionId,positionName,committeeId,committeeName,schoolId,schoolName
175,"Caryn Marooney –– VP of Global Communications (FB's top PR exec)",7,Facebook,18,ARMUN
298,"Kim Su-Gil",14,"North Korea War Council",18,ARMUN
110,Morocco,5,"United Nations Educational, Scientific, and Cultural Organization",18,ARMUN
119,"South Korea",5,"United Nations Educational, Scientific, and Cultural Organization",18,ARMUN
123,UK,5,"United Nations Educational, Scientific, and Cultural Organization",18,ARMUN
335,"Person 10",17,"Ad Hoc JCC",24,"Adlai E. Stevenson HS"
24,"Aluet International Association",2,"Arctic Council",24,"Adlai E. Stevenson HS"
282,Liberia,13,"Bretton Woods Conference",24,"Adlai E. Stevenson HS"
285,Philippines,13,"Bretton Woods Conference",24,"Adlai E. Stevenson HS"
220,"Oakley Bridges",10,"Brown Steering",24,"Adlai E. Stevenson HS"
207,"Sam Brown",10,"Brown Steering",24,"Adlai E. Stevenson HS"
239,"Zhu De",11,"CCP Politburo",24,"Adlai E. Stevenson HS"
246,"Xu Shiyou",11,"CCP Politburo",24,"Adlai E. Stevenson HS"
192,"Dr. Paul Farmer, United States Deputy Special Envoy to Haiti",8,"Cholera Haiti",24,"Adlai E. Stevenson HS"
153,Spain,6,"Disarmament and International Security Committee",24,"Adlai E. Stevenson HS"
139,Iraq,6,"Disarmament and International Security Committee",24,"Adlai E. Stevenson HS"
151,"South Africa",6,"Disarmament and International Security Committee",24,"Adlai E. Stevenson HS"
144,"New Zealand",6,"Disarmament and International Security Committee",24,"Adlai E. Stevenson HS"
318,"Nikita Khrushchev - First Secretary of the Communist Party of the Soviet Union and Chairman of the Council of Ministers",16,"How I Learned to Stop Worrying and Love the Bomb",24,"Adlai E. Stevenson HS"
310,"John F. Kennedy- President of the United States",16,"How I Learned to Stop Worrying and Love the Bomb",24,"Adlai E. Stevenson HS"
295,"Kwak Chang-Sik ",14,"North Korea War Council",24,"Adlai E. Stevenson HS"
292,"Jong Kyong-Thaek",14,"North Korea War Council",24,"Adlai E. Stevenson HS"
63,Australia,4,"UN Women 2",24,"Adlai E. Stevenson HS"
100,Ethiopia,5,"United Nations Educational, Scientific, and Cultural Organization",24,"Adlai E. Stevenson HS"
124,"United States",5,"United Nations Educational, Scientific, and Cultural Organization",24,"Adlai E. Stevenson HS"
256,Romania,12,"League of Nations",2,"Austin Preparatory School"
81,"North Korea",4,"UN Women 2",2,"Austin Preparatory School"
89,Sweden,4,"UN Women 2",2,"Austin Preparatory School"
329,"Person 4",17,"Ad Hoc JCC",11,"Beaver Country Day School"
327,"Person 2",17,"Ad Hoc JCC",11,"Beaver Country Day School"
228,"Deng Xiaoping,",11,"CCP Politburo",11,"Beaver Country Day School"
182,"Jean Yves Jason, Mayor of Port-au-Prince",8,"Cholera Haiti",11,"Beaver Country Day School"
185,"Josseline Colimon Fethiere, Trade and Industry Minister of Haiti",8,"Cholera Haiti",11,"Beaver Country Day School"
177,"Rachel Whetstone –– VP of Communications for FB & WhatsApp",7,Facebook,11,"Beaver Country Day School"
171,"Reed Hastings –– Chair of Compensation & Governance Committee",7,Facebook,11,"Beaver Country Day School"
42,Iraq,3,"UN Women 1",11,"Beaver Country Day School"
51,Qatar,3,"UN Women 1",11,"Beaver Country Day School"
36,Ethiopia,3,"UN Women 1",11,"Beaver Country Day School"
49,"North Korea",3,"UN Women 1",11,"Beaver Country Day School"
93,Vietnam,4,"UN Women 2",11,"Beaver Country Day School"
84,Russia,4,"UN Women 2",11,"Beaver Country Day School"
64,Brazil,4,"UN Women 2",11,"Beaver Country Day School"
85,"Saudi Arabia",4,"UN Women 2",11,"Beaver Country Day School"
336,"Person 11",17,"Ad Hoc JCC",12,"Buckingham Browne & Nichols"
339,"Person 14",17,"Ad Hoc JCC",12,"Buckingham Browne & Nichols"
241,"Saifuddin Azizi",11,"CCP Politburo",12,"Buckingham Browne & Nichols"
186,"Edmund Mulet, Head of United Nations Stabilisation Mission in Haiti (MINUSTAH)",8,"Cholera Haiti",12,"Buckingham Browne & Nichols"
194,"Archbishop Bernard Auza, Apolstolic Nuncio to Haiti",8,"Cholera Haiti",12,"Buckingham Browne & Nichols"
166,"Erin Egan –– Chief Privacy Officer (also VP of Public Policy)",7,Facebook,12,"Buckingham Browne & Nichols"
176,"Elliot Schrage –– VP of Global Communications (FB's top PR exec)",7,Facebook,12,"Buckingham Browne & Nichols"
56,Spain,3,"UN Women 1",12,"Buckingham Browne & Nichols"
59,UK,3,"UN Women 1",12,"Buckingham Browne & Nichols"
34,China,3,"UN Women 1",12,"Buckingham Browne & Nichols"
37,France,3,"UN Women 1",12,"Buckingham Browne & Nichols"
66,China,4,"UN Women 2",12,"Buckingham Browne & Nichols"
160,"Mark Zuckerberg –– Founder, CEO, and Chairman of the Board",7,Facebook,16,"Clayton A. Bouton High School"
178,"Debbie Frost –– VP of Int'l Policy & Communications",7,Facebook,16,"Clayton A. Bouton High School"
299,"Ri Yong-Mu",14,"North Korea War Council",16,"Clayton A. Bouton High School"
101,France,5,"United Nations Educational, Scientific, and Cultural Organization",16,"Clayton A. Bouton High School"
115,Qatar,5,"United Nations Educational, Scientific, and Cultural Organization",16,"Clayton A. Bouton High School"
109,Mexico,5,"United Nations Educational, Scientific, and Cultural Organization",16,"Clayton A. Bouton High School"
103,India,5,"United Nations Educational, Scientific, and Cultural Organization",16,"Clayton A. Bouton High School"
337,"Person 12",17,"Ad Hoc JCC",10,"Commonwealth School"
338,"Person 13",17,"Ad Hoc JCC",10,"Commonwealth School"
242,"Wu Guixian",11,"CCP Politburo",10,"Commonwealth School"
227,"Zhou Enlai",11,"CCP Politburo",10,"Commonwealth School"
179,"Rene Preval, President of Haiti",8,"Cholera Haiti",10,"Commonwealth School"
180,"Jean-Max Bellerive, Prime Minister of Haiti",8,"Cholera Haiti",10,"Commonwealth School"
165,"Atish Banerjea –– Chief Information Officer",7,Facebook,10,"Commonwealth School"
252,Czechoslovakia,12,"League of Nations",10,"Commonwealth School"
263,Estonia,12,"League of Nations",10,"Commonwealth School"
3,Russia,1,"Security Council",10,"Commonwealth School"
44,Kenya,3,"UN Women 1",10,"Commonwealth School"
30,Argentina,3,"UN Women 1",10,"Commonwealth School"
54,"South Africa",3,"UN Women 1",10,"Commonwealth School"
33,Canada,3,"UN Women 1",10,"Commonwealth School"
75,Japan,4,"UN Women 2",10,"Commonwealth School"
88,Spain,4,"UN Women 2",10,"Commonwealth School"
65,Canada,4,"UN Women 2",10,"Commonwealth School"
62,Argentina,4,"UN Women 2",10,"Commonwealth School"
271,Bolivia,13,"Bretton Woods Conference",7,"Concord Academy"
283,Mexico,13,"Bretton Woods Conference",7,"Concord Academy"
236,"Wang Dongxing",11,"CCP Politburo",7,"Concord Academy"
235,"Li Xiannian",11,"CCP Politburo",7,"Concord Academy"
325,"Igor Kurchatov - Director of Soviet Nuclear Research ",16,"How I Learned to Stop Worrying and Love the Bomb",7,"Concord Academy"
316,"J. Edgar Hoover - Director of the Federal Bureau of Investigation (FBI)",16,"How I Learned to Stop Worrying and Love the Bomb",7,"Concord Academy"
305,"José de San Martín",15,"Latin Independence",7,"Concord Academy"
254,Poland,12,"League of Nations",7,"Concord Academy"
266,Netherlands,12,"League of Nations",7,"Concord Academy"
205,"El Espectator",9,"Press Corps",7,"Concord Academy"
206,News24,9,"Press Corps",7,"Concord Academy"
71,India,4,"UN Women 2",7,"Concord Academy"
21,Russia,2,"Arctic Council",3,"Fayetteville-Manlius High School"
277,Ethiopia,13,"Bretton Woods Conference",3,"Fayetteville-Manlius High School"
281,Iran,13,"Bretton Woods Conference",3,"Fayetteville-Manlius High School"
212,"Jay Stevenson",10,"Brown Steering",3,"Fayetteville-Manlius High School"
216,"Francis Morrison",10,"Brown Steering",3,"Fayetteville-Manlius High School"
240,"Li Deshen",11,"CCP Politburo",3,"Fayetteville-Manlius High School"
184,"Léo Mérorès, Haitian Representative to the United Nations",8,"Cholera Haiti",3,"Fayetteville-Manlius High School"
191,"Bill Clinton, United States Special Envoy to Haiti",8,"Cholera Haiti",3,"Fayetteville-Manlius High School"
161,"Sheryl Sandberg –– Chief Operating Officer, Board Member",7,Facebook,3,"Fayetteville-Manlius High School"
168,"Erskine Bowles –– Chair of Audit Committee",7,Facebook,3,"Fayetteville-Manlius High School"
317,"Glenn T. Seaborg - Chair of the United States Atomic Energy Commission",16,"How I Learned to Stop Worrying and Love the Bomb",3,"Fayetteville-Manlius High School"
314,"Dean Rusk - United States Secretary of State",16,"How I Learned to Stop Worrying and Love the Bomb",3,"Fayetteville-Manlius High School"
304,"Francisco de Paula Santander",15,"Latin Independence",3,"Fayetteville-Manlius High School"
269,Finland,12,"League of Nations",3,"Fayetteville-Manlius High School"
265,Belgium,12,"League of Nations",3,"Fayetteville-Manlius High School"
204,"The Sun",9,"Press Corps",3,"Fayetteville-Manlius High School"
202,"Al Jazeera",9,"Press Corps",3,"Fayetteville-Manlius High School"
41,Iran,3,"UN Women 1",3,"Fayetteville-Manlius High School"
60,"United States",3,"UN Women 1",3,"Fayetteville-Manlius High School"
61,Vietnam,3,"UN Women 1",3,"Fayetteville-Manlius High School"
35,Egypt,3,"UN Women 1",3,"Fayetteville-Manlius High School"
70,Germany,4,"UN Women 2",3,"Fayetteville-Manlius High School"
78,Morocco,4,"UN Women 2",3,"Fayetteville-Manlius High School"
82,Pakistan,4,"UN Women 2",3,"Fayetteville-Manlius High School"
74,Iraq,4,"UN Women 2",3,"Fayetteville-Manlius High School"
120,Spain,5,"United Nations Educational, Scientific, and Cultural Organization",3,"Fayetteville-Manlius High School"
106,Iraq,5,"United Nations Educational, Scientific, and Cultural Organization",3,"Fayetteville-Manlius High School"
122,Turkey,5,"United Nations Educational, Scientific, and Cultural Organization",3,"Fayetteville-Manlius High School"
