positionId,positionName,committeeId,committeeName,schoolId,schoolName
548,"Ad Hoc – 4",39,"Ad Hoc",65,"Adlai E. Stevenson"
7,"Cape Verde",2,"African Union",65,"Adlai E. Stevenson"
28,Morocco,2,"African Union",65,"Adlai E. Stevenson"
573,"Abane Ramdane",40,"Algerian War (1959)",65,"Adlai E. Stevenson"
334,Bahrain,3,"Arab League",65,"Adlai E. Stevenson"
354,Yemen,3,"Arab League",65,"Adlai E. Stevenson"
818,"Charles Evans Hughes (Secretary of State)",9,"Bucareli Agreement (1923)",65,"Adlai E. Stevenson"
824,"Herbert Hoover (Secretary of Commerce)",9,"Bucareli Agreement (1923)",65,"Adlai E. Stevenson"
902,"Diogo Pinto de Freitas do Amaral (Civil Society)",17,"Carnation Revolution",65,"Adlai E. Stevenson"
897,"Álvaro Barreirinhas Cunhal (Civil Society)",17,"Carnation Revolution",65,"Adlai E. Stevenson"
48,Russia,5,"Disarmament and International Security Committee",65,"Adlai E. Stevenson"
83,"Rep. of Korea",5,"Disarmament and International Security Committee",65,"Adlai E. Stevenson"
432,"Kim Ok-Gyun",35,"Empire of Japan",65,"Adlai E. Stevenson"
732,"Pauli Lehtosalo - Deputy Minister of Trade and Industry",18,"Finnish Cabinet during the ""Note Crisis"", 1961",65,"Adlai E. Stevenson"
728,"Johannes Virolainen - Minister of Agriculture",18,"Finnish Cabinet during the ""Note Crisis"", 1961",65,"Adlai E. Stevenson"
454,"Zhidong/Chang Chih-tung, Viceroy of Huguang",34,"Qing Empire",65,"Adlai E. Stevenson"
459,"Weng Tonghe/Weng T’ung-ho, Minister of Revenue",34,"Qing Empire",20,"Arlington Regional Model United Nations Clubs (ARMUN)"
466,"Anastasio Somoza Debayle Portocarrero",32,"Somoza Government",20,"Arlington Regional Model United Nations Clubs (ARMUN)"
636,"George B. McClellan, Jr.",12,"Tammany Hall under Boss Murphy",20,"Arlington Regional Model United Nations Clubs (ARMUN)"
536,"Edmund Tudor, 1st Earl of Richmond",37,"The House of Lancaster",20,"Arlington Regional Model United Nations Clubs (ARMUN)"
529,"John Mowbray, 3rd Duke of Norfolk",38,"The House of York",20,"Arlington Regional Model United Nations Clubs (ARMUN)"
225,Afghanistan,8,"UN High Commissioner for Refugees",20,"Arlington Regional Model United Nations Clubs (ARMUN)"
259,Thailand,8,"UN High Commissioner for Refugees",20,"Arlington Regional Model United Nations Clubs (ARMUN)"
549,"Ad Hoc – 5",39,"Ad Hoc",7,"Auburn High School"
448,"Empress Myeongseong/Queen Min",34,"Qing Empire",7,"Auburn High School"
486,"Velerian Zorin – Deputy Chief of mission",31,"Soviet Embassy Mangua",7,"Auburn High School"
540,"John Tiptoft, Lord High Treasurer and 1st Earl of Worcester",37,"The House of Lancaster",7,"Auburn High School"
523,"Richard Neville, 5th Earl of Salisbury",38,"The House of York",7,"Auburn High School"
396,Angola,22,"UN Human Rights Council",7,"Auburn High School"
398,Belgium,22,"UN Human Rights Council",7,"Auburn High School"
216,Uganda,26,"UN Women",7,"Auburn High School"
196,Bangladesh,26,"UN Women",7,"Auburn High School"
887,"David Peterson - Consul General",29,"US Embassy Mangua",7,"Auburn High School"
287,Switzerland,27,"World Health Organization",7,"Auburn High School"
800,"Nicola Jane Watson (MDC)",21,"Zimbabwe House of Assembly",7,"Auburn High School"
795,"Noveti Muponora (ZANU-PF)",21,"Zimbabwe House of Assembly",7,"Auburn High School"
78,Germany,5,"Disarmament and International Security Committee",34,"Austin Preparatory School"
61,Venezuela,5,"Disarmament and International Security Committee",34,"Austin Preparatory School"
94,Netherlands,6,"Economic and Social Council",34,"Austin Preparatory School"
