positionId,positionName,committeeId,committeeName,schoolId,schoolName,,,,,,In DB,,,,school,,,,
537,Margaret Heckler - Massachusetts,79,Convention on the Elimination of all Forms of Discrimination Against Women (CEDAW),114,ARMUN,,77,24,0,77,24,,,,83,24,0,83,24
744,Krim Belkacem,89,Post-Colonial Algeria (1962),114,ARMUN,,78,15,0,78,15,,,,84,14,0,84,14
624,Henry Havemeyer,77,The Gilded Age (1892),114,ARMUN,,79,21,0,79,21,49,cedaw,,85,30,0,85,30
617,Fred DuBois,77,The Gilded Age (1892),114,ARMUN,,80,26,2,80,28,,estatesgeneral,,86,25,0,86,25
296,Benin,103,United Nations Economic and Social Council,114,ARMUN,,81,16,1,81,17,,,,87,12,0,87,12
298,Columbia,103,United Nations Economic and Social Council,114,ARMUN,,82,16,1,82,17,,,,88,24,0,88,24
408,Ethiopia,108,"United Nations Educational, Scientific, and Cultural Organization",114,ARMUN,,83,16,0,83,16,press corps,,,89,8,0,89,8
418,Pakistan,108,"United Nations Educational, Scientific, and Cultural Organization",114,ARMUN,,84,11,0,84,11,,,,90,18,0,90,18
89,Portugal,98,United Nations Human Rights Council,114,ARMUN,,85,28,0,85,28,,,,91,6,0,91,6
97,Greece,98,United Nations Human Rights Council,114,ARMUN,,86,23,0,86,23,,,,92,16,0,92,16
559,"Keir Starmer, Shadow Secretary of State for Leaving the European Union",93,Brexit,111,Auburn High School,,87,22,0,87,22,,,,93,18,0,93,18
507,Reémy-Louis de Croÿ,80,Estates General (1789),111,Auburn High School,,88,17,0,88,17,,,,94,8,0,94,8
171,Greece,99,European Union,111,Auburn High School,,89,19,0,89,19,,,,96,28,0,96,28
177,Luxembourg,99,European Union,111,Auburn High School,,90,0,0,90,0,,,,97,25,0,97,25
382,Egypt,105,GA Plenary,111,Auburn High School,,91,15,0,91,15,,,,98,10,0,98,10
363,Germany,105,GA Plenary,111,Auburn High School,,92,18,0,92,18,,,,99,18,0,99,18
493,Lázaro Cárdenas,82,Mexican Constitutional Congress (1917),111,Auburn High School,,93,19,1,93,20,,,,100,15,0,100,15
475,Ward 12: Councilman John Paulson,78,Providence City Council (1975),111,Auburn High School,,94,14,0,94,14,,,,103,15,0,103,15
299,Democratic Republic of the Congo,103,United Nations Economic and Social Council,111,Auburn High School,,95,22,1,95,23,,,,104,40,0,104,40
295,Belarus,103,United Nations Economic and Social Council,111,Auburn High School,,96,24,6,96,30,,,,105,12,0,105,12
226,Greece,102,United Nations Environmental Programme,111,Auburn High School,,97,30,0,97,30,,,,106,14,0,106,14
221,Denmark,102,United Nations Environmental Programme,111,Auburn High School,,98,30,0,98,30,,,,107,10,0,107,10
282,Palestine,106,United Nations International Children’s Emergency Fund,111,Auburn High School,,99,29,0,99,29,EU,,,108,13,0,108,13
279,Mauritania,106,United Nations International Children’s Emergency Fund,111,Auburn High School,,100,28,1,100,29,,,,109,24,0,109,24
508,Louis Philippe Joseph d’Orleans,80,Estates General (1789),100,Austin Preparatory School,,101,15,0,101,15,security council,,,110,15,0,110,15
359,Russia,105,GA Plenary,100,Austin Preparatory School,,102,26,2,102,28,,,,111,14,0,111,14
