id,general,specialized,crisis
40,4,3,2
34,10,3,2
66,1,5,2
36,8,10,4
35,10,4,2
39,8,6,10
37,8,2,2
48,0,0,1
17,2,6,6
12,10,6,4
26,7,5,3
28,6,8,6
38,10,5,0
9,12,6,7
32,10,5,5
33,8,6,6
54,0,10,4
14,12,3,9
68,0,8,0
23,3,4,3
30,4,3,3
65,6,6,4
57,1,2,5
19,4,5,4
31,3,8,5
51,8,12,10
13,12,4,2
25,10,2,2
18,12,6,5
56,4,4,3
46,0,0,2
8,16,11,8
45,9,1,1
43,20,7,3
49,4,3,2
60,3,3,4
29,15,7,8
58,0,0,8
2,3,5,3
20,2,1,4
5,6,10,8
4,4,6,2
24,4,4,1
42,10,5,4
15,16,2,2
67,5,3,2
16,4,4,4
7,5,2,6
41,7,3,2
3,2,0,0
22,13,0,0
52,12,0,0
59,11,0,0
50,10,0,0
62,7,3,2
70,3,0,0
11,15,10,0
71,10,6,4
