school_name,position_id,position_name
Northern Highlands,Arab League:Mauritania
Northern Highlands,HRC:Saudi Arabia
Northern Highlands,DISEC:Saudi Arabia
Northern Highlands,SpecPol:Australia
Northern Highlands,HRC:Australia
Northern Highlands,UNDP:Argentina
Northern Highlands,Plenary:Argentina
Northern Highlands,UN Women:Hungary
Northern Highlands,Environmental Assembly:Hungary
Northern Highlands,SpecPol:Argentina
Northern Highlands,HRC:Argentina
Northern Highlands,UNHCR:Bulgaria
Northern Highlands,UNDP:Bulgaria
Northern Highlands,Plenary:Cambodia
Northern Highlands,SpecPol:Cambodia
Northern Highlands,UNDP:Syrian Arab Republic
Northern Highlands,Plenary:Syrian Arab Republic
Northern Highlands,DISEC:Italy
Northern Highlands,DISEC:Italy
Northern Highlands,Hungary:Arthur Görgey
Arlington,African Union:Lesotho
Arlington,African Union:Uganda
Arlington,UNDP:Bangladesh
Arlington,EPA:Chief Financial Officer;
Arlington,Sri Lankan Parliament:Vijitha Herath
Arlington,Sri Lankan Parliament:Lakshman Yapa Abeywardena
Arlington,Cuba:Armando Hart Dávalos
Arlington,Columbian Crisis:Minister of Government
Stevenson,African Union:Mauritania 
Stevenson,Environmental Assembly:Norway
Stevenson,DISEC:Uzbekistan
Stevenson,Plenary:Jordan
Stevenson,SpecPol:Jordan
Stevenson,African Union:Côte D’Ivoire
Stevenson,ECOSOC:Greece
Stevenson,Zanzibar Revolutionary Government:14
Stevenson,Algeciras:Maria Borgia
Stevenson,"Second Council of Lyon:Pope Gregory X, Bishop of Rome"
Stevenson,Italy:Massimo d'Azeglio (Member of Sardinian Parliament)
Stevenson,Muslim Brotherhood:Mohammed Ezzat
Stevenson,US (Cuba):2
Stevenson,Egypt Protestors:Moussa Moustafa Moussa of the El-Ghad Party
Stevenson,US (Cuba):6
Stevenson,Egyptian Government:10
Oceanside,WHO:China
Oceanside,UN Women:China
Oceanside,WHO:Cameroon
Oceanside,UN Women:Cameroon
Oceanside,DISEC:Columbia
Oceanside,African Union:Malawi
Oceanside,UN Women:Israel
Oceanside,ECOSOC:Israel
Oceanside,African Union:Zambia
Oceanside,UNHCR:Germany
Oceanside,UNDP:Germany
Oceanside,WHO:Morocco
Oceanside,UN Women:Morocco
Oceanside,Plenary:Greece
Oceanside,SpecPol:Greece
Oceanside,UNDP:Hungary
Oceanside,Plenary:Hungary
Oceanside,DISEC:Finland
Oceanside,HRC:Germany
Oceanside,DISEC:Germany
Oceanside,UNHCR:Honduras
Oceanside,UNDP:Honduras
Oceanside,HRC:India
Oceanside,DISEC:India
Oceanside,DISEC:El Salvador
Oceanside,Arab League:Egypt
Oceanside,DISEC:Morocco
Oceanside,African Union:Morocco
Oceanside,Plenary:Honduras
Oceanside,SpecPol:Honduras
Cape Elizabeth,African Union:Mali
Cape Elizabeth,African Union:Rwanda
Cape Elizabeth,WHO:Australia
Cape Elizabeth,UN Women:Australia
Cape Elizabeth,UNHCR:Turkey
Cape Elizabeth,UNDP:Turkey
Cape Elizabeth,SpecPol:Central African Republic
Cape Elizabeth,HRC:Central African Republic
Cape Elizabeth,UNHCR:France
Cape Elizabeth,UNDP:France
Cape Elizabeth,Plenary:Brazil
Cape Elizabeth,EPA:Assistant Administrator for the Office of Research and Development;
Cape Elizabeth,Australian Parliament:Lisa Singh
Cape Elizabeth,Italy:Vincenzo Gioberti (Member of Sardinian Parliament)
American International School in Israel,Peter the Great:General Aleksandr Menshikov
American International School in Israel,Westphalia:Swiss Confederacy
American International School in Israel,Global Nato:Pakistan
American International School in Israel,"Second Council of Lyon:Albrecht of Styria, Delegate from Austria representing Rudolf of Habsburg"
American International School in Israel,Egypt Protestors:Mohamed ElBaradei with the National Association for Change
American International School in Israel,Hungary:Joseph Matthäus Aigner.
American International School in Israel,US (Cuba):11
American International School in Israel,Gulf States:Abdullah bin Abdulaziz Al Saud
Forman ,Security Council:KAZAKHSTAN
Forman ,Plenary:Iran
Forman ,SpecPol:Iran
Forman ,Security Council:ETHIOPIA
Forman ,HRC:Armenia
Forman ,DISEC:Armenia
Forman ,WHO:United States
Forman ,UN Women:United States
Forman ,UNDP:Finland
Forman ,Plenary:Finland
Forman ,Peter the Great:Baron Pyotr Shafirov
Forman ,Sri Lankan Parliament:Wijeyadasa Rajapakshe
Forman ,Peter the Great:Marshal Boris Sheremetev
Forman ,Global Nato:United Kingdom
St. Paul's,EU:Bulgaria 
St. Paul's,African Union:Somalia
St. Paul's,Arab League:Somalia
St. Paul's,WHO:Central African Republic
St. Paul's,Italy:Giuseppe Garibaldi (Leader of Volunteer Legions)
Garden School,EU:Poland 
Garden School,African Union:Gabon
Garden School,Security Council:US
Garden School,Australian Parliament:George Brandis
Garden School,"EPA:CEO, DuPont Corporation"
Garden School,Zanzibar Revolutionary Government:18
Garden School,Columbian Crisis:Chief of the National Prison System
Garden School,Columbian Crisis:Minister of Finance and Public Credit
Garden School,US (Cuba):5
Milton Academy,African Union:Congo
Milton Academy,UN Women:Greece
Milton Academy,Environmental Assembly:Greece
Milton Academy,WHO:India
Milton Academy,UN Women:India
Milton Academy,WHO:Cambodia
Milton Academy,UN Women:Cambodia
Milton Academy,UNHCR:Saudi Arabia
Milton Academy,UNDP:Saudi Arabia
Milton Academy,DISEC:Jordan
Milton Academy,Arab League:Jordan
Milton Academy,British Parliament:Edward Wortley Montagu
Milton Academy,Guadalajara:California
Milton Academy,EPA:Assistant Administrator for the Office of Administration and Resources Management;
Milton Academy,British Parliament:Thomas Gilbert
Milton Academy,Algeciras:Juan Montes
Milton Academy,Algeciras:Ali Pasha
Milton Academy,Peter the Great:Archbishop Theophan Prokopovich
Milton Academy,Muslim Brotherhood:Subhi Saleh
Milton Academy,Columbian Crisis:Minister of Justice
Hunter College High,Algeciras:Mohammed al-Muqari
Hunter College High,Algeciras:Edward Roberts
Hunter College High,Egyptian Government:3
Hunter College High,US (Cuba):9
Hunter College High,Muslim Brotherhood:Ahmad Artif
Hunter College High,Italy:Giacomo Durando (Sardinian General)
Hunter College High,Gulf States:Sheikh Hamad bin Jassim bin Jaber Al Thani
Hunter College High,Italy:Carlo Cattaneo (President of the Council of Milan)
St. John's Prep,Security Council:UKRAINE
St. John's Prep,African Union:Libya
St. John's Prep,Arab League:Libya
St. John's Prep,WHO:Russia
St. John's Prep,UN Women:Russia
St. John's Prep,UN Women:Central African Republic
St. John's Prep,Environmental Assembly:Central African Republic
St. John's Prep,Environmental Assembly:Pakistan
St. John's Prep,ECOSOC:Pakistan
St. John's Prep,Plenary:China
St. John's Prep,SpecPol:China
St. John's Prep,Environmental Assembly:Germany
St. John's Prep,ECOSOC:Germany
St. John's Prep,Environmental Assembly:United States
St. John's Prep,ECOSOC:United States
St. John's Prep,UNHCR:United States
St. John's Prep,UNDP:United States
St. John's Prep,WHO:Hungary
St. John's Prep,Australian Parliament:Scott Ryan
St. John's Prep,ICC:South Africa
St. John's Prep,Westphalia:Netherlands 2
St. John's Prep,Zanzibar Revolutionary Government:10
St. John's Prep,Egypt Protestors:Rashida Atiyeh* of the Coalition of the Youth of the Revolution
St. John's Prep,US (Cuba):4
St. John's Prep,Holy Alliance:František Palacký
Westwood,EU:Belgium 
Westwood,UNHCR:Argentina
Westwood,Algeciras:Anna Schein
Westwood,Westphalia:Saxony 2
Westwood,"Holy Alliance:Franz Stadion, Graf von Warthausen"
Westwood,Singapore Crisis:Lim Chin Siong
Westwood,Columbian Crisis:Minister of Public Works and Transport
Westwood,Holy Alliance:Prince Felix von Schwarzenburg
Westwood,Cuba:Osvaldo Dorticós Torrado
Westwood,Egyptian Government:2
Westwood,Egyptian Government:7
Westwood,Holy Alliance:Baron Johann von Wessenberg-Ampringen
Westwood,Muslim Brotherhood:Khairat al-Shater
Westwood,Muslim Brotherhood:Farid Ismail
Beaver Country Day,Environmental Assembly:Venezuela
Beaver Country Day,African Union:Mozambique
Beaver Country Day,African Union:Sao Tomé and Principe
Beaver Country Day,HRC:Jordan
Beaver Country Day,EPA:Assistant Administrator for the Office of Water;
Beaver Country Day,Rashidun Caliphate:Ali
Beaver Country Day,Sri Lankan Parliament:Douglas Devananda
Beaver Country Day,EPA:Assistant Administrator for the Office of Enforcement and Compliance Assurance;
Beaver Country Day,Zanzibar Revolutionary Government:20
Beaver Country Day,ICC:Japan
Beaver Country Day,Egyptian Government:13
Beaver Country Day,Singapore Crisis:James Puthucheary
Beaver Country Day,Egypt Protestors:Wael Abbas of Egyptian Awareness
Beaver Country Day,Egyptian Government:12
Beaver Country Day,Cuba:Melba Hernández Rodríguez del Rey
Beaver Country Day,Egypt Protestors:Asmaa Mafouz of the April 6th Movement
