school_name,school_id,position_str,committee_id,committee_name,position_name,,,,
Clayton A. Bouton,14,African Union:Algeria,2,African Union,Algeria,,,,
Hackley,57,African Union:Benin,2,African Union,Benin,,,,
Colegio Maya,40,African Union:Botswana,2,African Union,Botswana,,,,
St. John's,15,African Union:Burkina Faso,2,African Union,Burkina Faso,,,,
Bronx Science,22,African Union:Burundi,2,African Union,Burundi,,,,
Clayton A. Bouton,14,African Union:Cameroon,2,African Union,Cameroon,,,,
Thomas A. Edison CTE,29,African Union:Cape Verde,2,African Union,Cape Verde,,,,
Stuyvesant,48,African Union:Central African Republic,2,African Union,Central African Republic,,,,
Lexington,35,African Union:Chad,2,African Union,Chad,,,,
Milton Academy,61,African Union:Congo,2,African Union,Congo,,,,
Stevenson,44,African Union:Côte D’Ivoire,2,African Union,Côte D'Ivoire,,,,
Western Reserve,42,African Union:Djibouti,2,African Union,Djibouti,,,,
King,34,African Union:DR Congo,2,African Union,DR Congo,,,,
Stuyvesant,48,African Union:Egypt,2,African Union,Egypt,,,,
Meridian Academy,12,African Union:Equatorial Guinea,2,African Union,Equatorial Guinea,,,,
Stuyvesant,48,African Union:Eritrea,2,African Union,Eritrea,,,,
Garden School,73,African Union:Gabon,2,African Union,Gabon,,,,
Stuyvesant,48,African Union:Gambia,2,African Union,Gambia,,,,
St. John's,15,African Union:Ghana,2,African Union,Ghana,,,,
Lincoln,59,African Union:Guinea,2,African Union,Guinea,,,,
Wheeler,21,African Union:Guinea-Bissau,2,African Union,Guinea-Bissau,,,,
Guilderland,10,African Union:Kenya,2,African Union,Kenya,,,,
Arlington,23,African Union:Lesotho,2,African Union,Lesotho,,,,
Hopkinton,18,African Union:Liberia,2,African Union,Liberia,,,,
St. John's Prep,20,African Union:Libya,2,African Union,Libya,,,,
Jeju,50,African Union:Madagascar,2,African Union,Madagascar,,,,
Oceanside,31,African Union:Malawi,2,African Union,Malawi,,,,
Cape Elizabeth,11,African Union:Mali,2,African Union,Mali,,,,
Stevenson,44,African Union:Mauritania ,2,African Union,Mauritania ,,,,
New Canaan,32,African Union:Mauritius,2,African Union,Mauritius,,,,
Oceanside,31,African Union:Morocco,2,African Union,Morocco,,,,
Beaver Country Day,58,African Union:Mozambique,2,African Union,Mozambique,,,,
Meridian Academy,12,African Union:Namibia,2,African Union,Namibia,,,,
Clayton A. Bouton,14,African Union:Niger,2,African Union,Niger,,,,
St. John's,15,African Union:Nigeria,2,African Union,Nigeria,,,,
Cape Elizabeth,11,African Union:Rwanda,2,African Union,Rwanda,,,,
Beaver Country Day,58,African Union:Sao TomÃ© and Principe,2,African Union,Sao Tomé and Principe,,,,
Sharon,36,African Union:Senegal,2,African Union,Senegal,,,,
Newton North,70,African Union:Seychelles,2,African Union,Seychelles,,,,
Colegio Maya,40,African Union:Sierra Leone,2,African Union,Sierra Leone,,,,
St. Paul's,74,African Union:Somalia,2,African Union,Somalia,,,,
American Heritage Plantation,28,African Union:South Africa,2,African Union,South Africa,,,,
Concord Academy,26,African Union:Sudan,2,African Union,Sudan,,,,
Barrington,62,African Union:Swaziland,2,African Union,Swaziland,,,,
Jeju,50,African Union:Tanzania,2,African Union,Tanzania,,,,
Jeju,50,African Union:Togo,2,African Union,Togo,,,,
Lexington,35,African Union:Tunisia,2,African Union,Tunisia,,,,
Arlington,23,African Union:Uganda,2,African Union,Uganda,,,,
Burr and Burton Academy,45,African Union:Western Sahara,2,African Union,Western Sahara,,,,
Oceanside,31,African Union:Zambia,2,African Union,Zambia,,,,
Wheeler,21,African Union:Zimbabwe,2,African Union,Zimbabwe,,,,
Milton Academy,61,Algeciras:Ali Pasha,27,Algeciras,Ali Pasha,,,,
Concord Academy,26,Algeciras:Amelia Smith,27,Algeciras,Amelia Smith,,,,
Westwood,17,Algeciras:Anna Schein,27,Algeciras,Anna Schein,,,,
Montclair Kimberley Academy,38,Algeciras:David Bensimon,27,Algeciras,David Bensimon,,,,
Bronx Science,22,Algeciras:Edward Roberts,27,Algeciras,Edward Roberts,,,,
Stuyvesant,48,Algeciras:Ekaterina Neverova,27,Algeciras,Ekaterina Neverova,,,,
Millbrook,53,Algeciras:Hans Schneider,27,Algeciras,Hans Schneider,,,,
Saint Ann's,72,Algeciras:Henri Dupont,27,Algeciras,Henri Dupont,,,,
